,overall_mean_age,overall_median_age,female_mean_age,female_median_age,male_mean_age,male_median_age,year
0,28.433760683760685,26.0,29.0,29.0,28.420131291028447,29.0,1900
1,26.48578199052133,24.0,54.333333333333336,55.0,25.878934624697337,55.0,1904
2,26.93159609120521,25.0,23.5,23.5,26.95409836065574,23.5,1906
3,27.739869281045753,26.0,30.333333333333332,26.0,27.688,26.0,1908
4,27.50642398286938,26.0,22.7,22.0,27.66592920353982,22.0,1912
5,29.669779286926996,28.0,23.363636363636363,21.5,29.914462081128747,21.5,1920
6,28.15871254162042,26.0,22.14,20.0,28.512338425381902,20.0,1924
7,26.3,24.0,21.122448979591837,19.0,27.02279202279202,19.0,1928
8,26.312242090784043,24.0,20.720588235294116,20.0,26.889226100151745,20.0,1932
9,25.986328125,25.0,21.329896907216494,21.0,26.473570658036678,21.0,1936
10,28.126673532440783,27.0,24.495652173913044,23.0,28.614485981308412,23.0,1948
11,26.780038759689923,25.0,24.373417721518987,23.0,27.215102974828376,23.0,1952
12,25.72621359223301,25.0,23.00588235294118,22.0,26.263953488372092,22.0,1956
13,25.075829383886255,24.0,22.68717948717949,22.0,25.617441860465117,22.0,1960
14,25.243198680956308,25.0,22.69918699186992,22.0,25.890382626680456,22.0,1964
15,24.972089314194577,24.0,22.17624521072797,21.0,25.706948640483382,21.0,1968
16,24.873319179051663,24.0,22.47457627118644,21.0,25.506261180679786,21.0,1972
17,24.38667537557152,24.0,22.456818181818182,22.0,25.164986251145738,22.0,1976
18,24.304619225967542,24.0,22.637113402061857,22.0,25.028648164726945,22.0,1980
19,24.255745433117266,24.0,23.00729927007299,23.0,24.851174934725847,23.0,1984
20,24.499728997289974,24.0,23.19448946515397,23.0,25.155537459283387,23.0,1988
21,24.66847290640394,24.0,23.775687409551374,24.0,25.129200896191186,24.0,1992
22,25.24773413897281,25.0,24.89814814814815,25.0,25.417040358744394,25.0,1994
23,25.433224755700326,25.0,24.784031413612567,25.0,25.893320964749535,25.0,1996
24,26.05,26.0,25.349206349206348,25.0,26.577689243027887,25.0,1998
25,26.110279441117765,26.0,25.6,25.0,26.509786476868328,25.0,2000
26,26.96234309623431,27.0,25.884615384615383,25.5,27.79259259259259,25.5,2002
27,26.157421289355323,26.0,25.57683741648107,25.0,26.630099728014507,25.0,2004
28,27.338403041825096,28.0,26.549783549783548,26.0,27.955932203389832,26.0,2006
29,26.046875,25.0,25.53540772532189,25.0,26.474014336917563,25.0,2008
30,26.723076923076924,26.0,26.074235807860262,25.0,27.233676975945016,25.0,2010
31,26.06646058732612,26.0,25.58061002178649,25.0,26.502443792766375,25.0,2012
32,26.644891122278057,26.0,25.61509433962264,25.0,27.466867469879517,25.0,2014
33,26.325259515570934,26.0,25.8297213622291,25.0,26.780834914611006,25.0,2016
