Sport,Mean,Max,Min
Aeronautics,26,26,26
Alpine Skiing,23.20546223,55,14
Alpinism,38.8125,57,22
Archery,27.93522626,71,14
Art Competitions,45.90100944,97,14
Athletics,25.16122324,52,12
Badminton,25.67124228,44,16
Baseball,26.24076148,44,16
Basketball,25.3245977,40,16
Basque Pelota,26,26,26
Beach Volleyball,29.12234043,41,18
Biathlon,26.53291087,45,17
Bobsleigh,29.11018084,54,15
Boxing,23.05480887,41,15
Canoeing,25.50440026,48,15
Cricket,29.33333333,44,21
Croquet,33.73333333,58,15
Cross Country Skiing,26.0061552,49,15
Curling,31.412527,58,17
Cycling,24.77399077,49,14
Diving,22.48144065,51,12
Equestrianism,34.39083076,72,16
Fencing,28.53882236,63,14
Figure Skating,22.23218997,52,11
Football,23.69324961,40,15
Freestyle Skiing,24.42689434,44,13
Golf,29.40851064,50,15
Gymnastics,22.73303823,49,10
Handball,26.30800991,43,14
Hockey,25.71686169,44,15
Ice Hockey,25.83141972,48,15
Jeu De Paume,32.45454545,43,19
Judo,25.32952432,43,14
Lacrosse,26.86111111,37,14
Luge,24.62626947,53,15
Military Ski Patrol,23.73684211,32,20
Modern Pentathlon,26.3885468,53,15
Motorboating,33.33333333,54,26
Nordic Combined,24.3423221,39,15
Polo,35.33333333,53,21
Racquets,28.66666667,45,19
Rhythmic Gymnastics,18.73708207,30,13
Roque,53.33333333,64,37
Rowing,25.27629357,60,11
Rugby,24.38596491,39,18
Rugby Sevens,26.04682274,36,18
Sailing,30.28884304,71,13
Shooting,33.4222264,72,15
Short Track Speed Skating,22.80443286,35,13
Skeleton,29.83248731,53,18
Ski Jumping,23.34729786,43,14
Snowboarding,24.8258547,40,14
Softball,26.29916318,41,17
Speed Skating,24.30353951,52,13
Swimming,20.56680341,46,11
Synchronized Swimming,22.36685083,40,15
Table Tennis,26.46252567,54,15
Taekwondo,24.05610561,37,16
Tennis,25.85135135,47,13
Trampolining,25.13815789,39,18
Triathlon,27.87145558,42,18
Tug-Of-War,29.30952381,45,17
Volleyball,25.18379971,41,15
Water Polo,25.65962699,45,14
Weightlifting,25.50201018,45,15
Wrestling,25.79828906,50,15
